,date,stop_id,am_rush,pm_rush,full_day
461,2018-01-08,place-forhl,7258,2322,12391
462,2018-01-08,place-gover,577,4126,6197
463,2018-01-08,place-grnst,1730,545,2910
464,2018-01-08,place-haecl,2869,3393,9254
465,2018-01-08,place-harsq,5205,7408,17081
466,2018-01-08,place-hymnl,1237,2839,5744
467,2018-01-08,place-jaksn,2641,1245,5247
468,2018-01-08,place-jfk,2115,2167,5656
469,2018-01-08,place-kencl,1530,2687,5990
470,2018-01-08,place-knncl,1687,11706,16445
471,2018-01-08,place-lech,1872,2141,5292
472,2018-01-08,place-masta,1645,2301,5384
473,2018-01-08,place-mlmnl,6756,1417,10459
474,2018-01-08,place-mvbcl,4835,2233,9690
475,2018-01-08,place-north,6651,5714,14608
476,2018-01-08,place-nqncy,5050,1493,8347
477,2018-01-08,place-ogmnl,4709,436,6173
478,2018-01-08,place-orhte,1551,549,2756
479,2018-01-08,place-pktrm,1523,9532,14699
480,2018-01-08,place-portr,5314,1285,7929
481,2018-01-08,place-prmnl,576,1625,3057
482,2018-01-08,place-qamnl,3287,443,4259
483,2018-01-08,place-qnctr,5086,1032,7444
484,2018-01-08,place-rbmnl,1303,490,2627
485,2018-01-08,place-rcmnl,1359,1735,4353
486,2018-01-08,place-river,612,366,1261
487,2018-01-08,place-rugg,2165,5014,10009
488,2018-01-08,place-sbmnl,2077,522,3152
489,2018-01-08,place-sdmnl,218,70,376
490,2018-01-08,place-shmnl,1286,396,2142
491,2018-01-08,place-smmnl,1245,280,2055
492,2018-01-08,place-spmnl,17,345,531
493,2018-01-08,place-sstat,7314,13086,24728
494,2018-01-08,place-state,829,9734,13732
495,2018-01-08,place-sull,3946,2144,8154
496,2018-01-08,place-symcl,522,497,1437
497,2018-01-08,place-tumnl,1063,3530,6163
498,2018-01-08,place-welln,4216,1143,6547
499,2018-01-08,place-wimnl,819,487,1762
500,2018-01-08,place-wondl,4134,658,6037
501,2018-01-08,place-wtcst,100,647,902
502,2018-01-09,place-alfcl,7229,2555,11454
503,2018-01-09,place-andrw,2635,1777,5973
504,2018-01-09,place-aport,2336,1620,6145
505,2018-01-09,place-aqucl,200,2258,3688
506,2018-01-09,place-armnl,669,4620,6947
507,2018-01-09,place-asmnl,4982,1590,8879
508,2018-01-09,place-astao,723,1485,2986
509,2018-01-09,place-bbsta,3746,8514,15777
510,2018-01-09,place-bmmnl,1801,381,2924
511,2018-01-09,place-bomnl,148,1420,2150
512,2018-01-09,place-boyls,635,2436,4755
513,2018-01-09,place-brdwy,2495,2538,6437
514,2018-01-09,place-brntn,2540,596,4058
515,2018-01-09,place-ccmnl,908,1271,3156
516,2018-01-09,place-chncl,619,2894,5601
517,2018-01-09,place-cntsq,4517,6037,13859
